# dc:title,內建詞庫,
# dc:rights,Copyright (c) 2025 libchewing Core Team,
# dc:license,LGPL-2.1-or-later,
# dc:identifier,2025.11.17,
䅿,1,ㄏㄨㄚˊ
䆀,1,ㄇㄟˇ
䆐,1,ㄍㄨㄛˊ
䆲,1,ㄎㄤ
䇌,1,ㄑㄧㄠˋ
䇏,1,ㄉㄨㄟˇ
䇛,1,ㄓˇ
䇦,1,ㄤˇ
䇦,1,ㄧㄥ
䇭,1,ㄌㄠˇ
䇯,1,ㄖㄨㄥˊ
䇹,1,ㄐㄩㄣˋ
䇼,1,ㄧˋ
䈑,1,ㄍㄨㄚˇ
䈣,1,ㄓㄥˋ
䉀,1,ㄕㄨˋ
䉠,1,ㄇㄟˊ
䉠,1,ㄨㄟˊ
䉪,1,ㄌㄟˋ
䉶,1,ㄕㄨㄤ
䉺,1,ㄏㄨㄥˊ
䊆,1,ㄐㄧㄡˋ
䊔,1,ㄧㄥ
䊕,1,ㄐㄧㄢ
䊵,1,ㄑㄧㄡˊ
䊹,1,ㄑㄧㄢ
䊼,1,ㄔˇ
䋊,1,ㄓㄥ
䋎,1,ㄉㄧㄥˋ
䋎,1,ㄓㄢˋ
䋭,1,ㄩˋ
䋴,1,ㄋㄧㄡˋ
䋻,1,ㄋㄧㄣˊ
䋼,1,ㄧㄥˊ
䌫,1,ㄌㄢˇ
䌫,1,ㄌㄢˋ
䍉,1,ㄓㄞˇ
䍮,1,ㄓㄠˋ
䎗,1,ㄑㄧㄠˊ
䎚,1,ㄏㄨㄟˋ
䎱,1,ㄅㄚˋ
䎱,1,ㄅㄟ
䎺,1,ㄓˋ
䏁,1,ㄗㄞˇ
䏙,1,ㄊㄢˇ
䏟,1,ㄅㄧˋ
䏰,1,ㄖㄣˇ
䏲,1,ㄉㄧㄝˊ
䐁,1,ㄊㄨㄣˊ
䐂,1,ㄌㄨˋ
䐓,1,ㄖㄡˊ
䐥,1,ㄨㄥˇ
䐭,1,ㄉㄧˋ
䐶,1,ㄐㄧㄣˇ
䐶,1,ㄑㄧㄢˊ
䐶,1,ㄗㄢ
䑙,1,ㄊㄢˋ
䑲,1,ㄉㄧˊ
䑲,1,ㄓㄠˋ
䑺,1,ㄈㄢ
䑺,1,ㄈㄢˊ
䒏,1,ㄙㄥ
